Año;Mes;NCM;Pdes;Pnet(kg);FOB(u$s)
2020;01;01cccccc;212;         615,000;         5800,00                                                                                                                                                  
2020;01;01cccccc;225;       23588,520;       334082,00                                                                                                                                                  
2020;01;01cccccc;331;       10433,000;       164850,00                                                                                                                                                  
2020;01;01012900;212;       52450,000;      1064400,00                                                                                                                                                  
2020;01;02cccccc;108;       67730,000;       131582,50                                                                                                                                                  
2020;01;02cccccc;109;      101998,000;        76505,90                                                                                                                                                  
2020;01;02cccccc;110;      177995,000;       134490,90                                                                                                                                                  
2020;01;02cccccc;115;      163674,000;       178024,96                                                                                                                                                  
2020;01;02cccccc;149;      604106,600;       476765,08                                                                                                                                                  
2020;01;02cccccc;159;      162771,000;       218068,89                                                                                                                                                  
2020;01;02cccccc;203;       43778,690;       236206,45                                                                                                                                                  
2020;01;02cccccc;205;       48080,860;       217447,78                                                                                                                                                  
2020;01;02cccccc;208;       53149,060;       292302,58                                                                                                                                                  
2020;01;02cccccc;222;       88427,000;       209786,01                                                                                                                                                  
2020;01;02cccccc;225;      106174,530;       445810,49                                                                                                                                                  
2020;01;02cccccc;242;       33218,950;        61316,97                                                                                                                                                  
2020;01;02cccccc;244;       65400,120;       298199,25                                                                                                                                                  
2020;01;02cccccc;310;      174450,000;       593874,57                                                                                                                                                  
2020;01;02cccccc;319;       39963,940;       329702,51                                                                                                                                                  
2020;01;02cccccc;320;       27777,390;        53988,02                                                                                                                                                  
2020;01;02cccccc;322;      700289,730;      1011605,26                                                                                                                                                  
2020;01;02cccccc;331;     1618623,770;      2066508,08                                                                                                                                                  
2020;01;02cccccc;333;      129767,380;       165119,29                                                                                                                                                  
2020;01;02cccccc;335;       16010,000;        31403,72                                                                                                                                                  
2020;01;02cccccc;337;      129351,000;       110806,40                                                                                                                                                  
2020;01;02cccccc;341;      163859,630;       216308,41                                                                                                                                                  
2020;01;02cccccc;401;      117962,830;       275541,08                                                                                                                                                  
2020;01;02cccccc;406;       72027,730;       516263,12                                                                                                                                                  
2020;01;02cccccc;410;      198462,330;       373604,94                                                                                                                                                  
2020;01;02cccccc;412;       61078,490;       349356,94                                                                                                                                                  
2020;01;02cccccc;417;      461876,540;      1812279,61                                                                                                                                                  
2020;01;02cccccc;423;      297704,120;       784379,61                                                                                                                                                  
2020;01;02cccccc;426;      237842,430;       721276,11                                                                                                                                                  
2020;01;02cccccc;430;       30886,600;       133489,22                                                                                                                                                  
2020;01;02cccccc;438;      111133,360;       570680,55                                                                                                                                                  
2020;01;02cccccc;444;       75917,420;       128825,39                                                                                                                                                  
2020;01;02012090;341;        2511,300;        29316,59                                                                                                                                                  
2020;01;02013000;203;      245517,950;      2164156,67                                                                                                                                                  
2020;01;02013000;208;     3138334,370;     19508621,14                                                                                                                                                  
2020;01;02013000;212;       25896,070;       196852,15                                                                                                                                                  
2020;01;02013000;222;        6884,000;        77960,95                                                                                                                                                  
2020;01;02013000;319;      796526,020;      6028619,51                                                                                                                                                  
2020;01;02013000;333;       12293,530;       158555,15                                                                                                                                                  
2020;01;02013000;341;        4920,680;        75449,01                                                                                                                                                  
2020;01;02013000;410;       74077,530;       635235,36                                                                                                                                                  
2020;01;02013000;417;      241202,040;      2450344,05                                                                                                                                                  
2020;01;02013000;423;      765492,540;      7135459,11                                                                                                                                                  
2020;01;02013000;430;       47147,810;       570200,52                                                                                                                                                  
2020;01;02013000;438;     1673907,030;     15315631,81                                                                                                                                                  
2020;01;02013000;444;       10785,100;       155449,27                                                                                                                                                  
2020;01;02022010;310;       68279,000;       183094,87                                                                                                                                                  
2020;01;02022020;310;      103403,000;       163270,86                                                                                                                                                  
2020;01;02022090;310;     1868641,550;      5861430,76                                                                                                                                                  
2020;01;02023000;203;      678390,570;      5629622,17                                                                                                                                                  
2020;01;02023000;212;      251543,940;      1454084,46                                                                                                                                                  
2020;01;02023000;242;       21008,050;       168120,56                                                                                                                                                  
2020;01;02023000;244;       41732,970;       240951,16                                                                                                                                                  
2020;01;02023000;310;    28485759,090;    136417321,52                                                                                                                                                  
2020;01;02023000;319;     1709439,990;     13122787,51                                                                                                                                                  
2020;01;02023000;423;       47964,690;       264646,78                                                                                                                                                  
2020;01;02023000;444;      886972,860;      3440123,24                                                                                                                                                  
2020;01;02032100;310;      251444,450;       662535,41                                                                                                                                                  
2020;01;02032900;310;      334752,540;       917670,23                                                                                                                                                  
2020;01;02050000;320;       66230,690;       415908,10                                                                                                                                                  
2020;01;02050000;406;      224605,880;      1133101,79                                                                                                                                                  
2020;01;02050000;444;      261809,020;       667092,72                                                                                                                                                  
2020;01;02061000;208;       13458,870;       111028,10                                                                                                                                                  
2020;01;02061000;212;         450,720;         3239,03                                                                                                                                                  
2020;01;02061000;319;        3235,090;        18394,35                                                                                                                                                  
2020;01;02061000;410;         313,230;         2440,75                                                                                                                                                  
2020;01;02062100;319;       23379,740;       106410,27                                                                                                                                                  
2020;01;02062100;444;      383319,920;      1244941,19                                                                                                                                                  
2020;01;02062200;203;      372999,860;       303474,90                                                                                                                                                  
2020;01;02062200;444;     2378481,810;      3079662,78                                                                                                                                                  
2020;01;02062910;159;      276095,710;       670343,84                                                                                                                                                  
2020;01;02062910;341;      375746,440;       930689,50                                                                                                                                                  
2020;01;02062990;108;      223733,740;       181305,20                                                                                                                                                  
2020;01;02062990;109;       80470,000;       102941,93                                                                                                                                                  
2020;01;02062990;117;      137500,000;       131370,00                                                                                                                                                  
2020;01;02062990;222;      362840,000;       313470,15                                                                                                                                                  
2020;01;02062990;310;      207444,080;       583880,08                                                                                                                                                  
2020;01;02062990;319;       52207,080;       200704,00                                                                                                                                                  
2020;01;02062990;335;      481240,000;       743465,35                                                                                                                                                  
2020;01;02062990;341;     1381623,560;      2864754,49                                                                                                                                                  
2020;01;02062990;444;     1337106,460;      2506129,25                                                                                                                                                  
2020;01;02064900;149;      133891,100;        54117,54                                                                                                                                                  
2020;01;02064900;341;      277299,000;       164879,54                                                                                                                                                  
2020;01;02071200;208;      944193,900;      1220722,58                                                                                                                                                  
2020;01;02071200;222;      284452,100;       219617,16                                                                                                                                                  
2020;01;02071200;310;     1099090,300;      1241216,31                                                                                                                                                  
2020;01;02071200;333;      401139,000;       519205,03                                                                                                                                                  
2020;01;02071200;509;       98412,200;       124529,85                                                                                                                                                  
2020;01;02071200;999;      109805,000;       145090,47                                                                                                                                                  
2020;01;02071400;159;     3057217,000;      1739743,40                                                                                                                                                  
2020;01;02071400;203;      517200,000;      1126338,00                                                                                                                                                  
2020;01;02071400;208;      311520,000;       618423,77                                                                                                                                                  
2020;01;02071400;310;     7090720,000;     13790545,74                                                                                                                                                  
2020;01;02071400;341;      157025,000;        57342,50                                                                                                                                                  
2020;01;02071400;444;      825740,000;       741106,20                                                                                                                                                  
2020;01;02071400;509;       54395,600;       176078,91                                                                                                                                                  
2020;01;02071400;999;       92995,000;        69295,31                                                                                                                                                  
2020;01;03cccccc;105;      168000,000;       212107,00                                                                                                                                                  
2020;01;03cccccc;117;      167100,000;       243321,00                                                                                                                                                  
2020;01;03cccccc;131;      111000,000;       128304,00                                                                                                                                                  
2020;01;03cccccc;159;       78996,000;       539835,00                                                                                                                                                  
2020;01;03cccccc;202;        2921,000;        10778,00                                                                                                                                                  
2020;01;03cccccc;203;      231994,000;       348733,60                                                                                                                                                  
2020;01;03cccccc;205;       61200,000;       124440,00                                                                                                                                                  
2020;01;03cccccc;212;      109698,480;       417647,94                                                                                                                                                  
2020;01;03cccccc;225;       58010,000;       313727,50                                                                                                                                                  
2020;01;03cccccc;309;       23882,400;        67653,34                                                                                                                                                  
2020;01;03cccccc;310;      519729,380;      2140303,90                                                                                                                                                  
2020;01;03cccccc;319;       26000,000;        38120,00                                                                                                                                                  
2020;01;03cccccc;320;      856882,590;      3277163,20                                                                                                                                                  
2020;01;03cccccc;335;       25430,000;        31428,00                                                                                                                                                  
2020;01;03cccccc;337;       50939,000;       120635,30                                                                                                                                                  
