Año;Mes;NCM;Pdes;Pnet(kg);FOB(u$s)
2020;01;01012100;999;        3250,000;        35580,00                                                                                                                                                  
2020;01;01012900;212;       52450,000;      1064400,00                                                                                                                                                  
2020;01;01012900;999;       44160,000;       621350,00                                                                                                                                                  
2020;01;02012090;341;        2511,300;        29316,59                                                                                                                                                  
2020;01;02012090;999;         929,680;        10154,28                                                                                                                                                  
2020;01;02013000;203;      245517,950;      2164156,67                                                                                                                                                  
2020;01;02013000;208;     3138334,370;     19508621,14                                                                                                                                                  
2020;01;02013000;212;       25896,070;       196852,15                                                                                                                                                  
2020;01;02013000;222;        6884,000;        77960,95                                                                                                                                                  
2020;01;02013000;319;      796526,020;      6028619,51                                                                                                                                                  
2020;01;02013000;333;       12293,530;       158555,15                                                                                                                                                  
2020;01;02013000;341;        4920,680;        75449,01                                                                                                                                                  
2020;01;02013000;410;       74077,530;       635235,36                                                                                                                                                  
2020;01;02013000;417;      241202,040;      2450344,05                                                                                                                                                  
2020;01;02013000;423;      765492,540;      7135459,11                                                                                                                                                  
2020;01;02013000;430;       47147,810;       570200,52                                                                                                                                                  
2020;01;02013000;438;     1673907,030;     15315631,81                                                                                                                                                  
2020;01;02013000;444;       10785,100;       155449,27                                                                                                                                                  
2020;01;02013000;999;      281638,100;      2028158,84                                                                                                                                                  
2020;01;02022010;310;       68279,000;       183094,87                                                                                                                                                  
2020;01;02022010;999;         106,000;          286,20                                                                                                                                                  
2020;01;02022020;310;      103403,000;       163270,86                                                                                                                                                  
2020;01;02022090;310;     1868641,550;      5861430,76                                                                                                                                                  
2020;01;02022090;999;      144045,140;       253297,28                                                                                                                                                  
2020;01;02023000;203;      678390,570;      5629622,17                                                                                                                                                  
2020;01;02023000;212;      251543,940;      1454084,46                                                                                                                                                  
2020;01;02023000;242;       21008,050;       168120,56                                                                                                                                                  
2020;01;02023000;244;       41732,970;       240951,16                                                                                                                                                  
2020;01;02023000;310;    28485759,090;    136417321,52                                                                                                                                                  
2020;01;02023000;319;     1709439,990;     13122787,51                                                                                                                                                  
2020;01;02023000;423;       47964,690;       264646,78                                                                                                                                                  
2020;01;02023000;444;      886972,860;      3440123,24                                                                                                                                                  
2020;01;02023000;999;      379490,050;      2116245,61                                                                                                                                                  
2020;01;02032100;310;      251444,450;       662535,41                                                                                                                                                  
2020;01;02032100;999;       55151,000;        85663,80                                                                                                                                                  
2020;01;02032900;310;      334752,540;       917670,23                                                                                                                                                  
2020;01;02032900;999;      104750,000;       102844,44                                                                                                                                                  
2020;01;02043000;999;      107873,460;       569804,64                                                                                                                                                  
2020;01;02044200;999;      175416,080;       928285,91                                                                                                                                                  
2020;01;02044300;999;       10019,550;        54546,19                                                                                                                                                  
2020;01;02050000;320;       66230,690;       415908,10                                                                                                                                                  
2020;01;02050000;406;      224605,880;      1133101,79                                                                                                                                                  
2020;01;02050000;444;      261809,020;       667092,72                                                                                                                                                  
2020;01;02050000;999;      439842,280;      1634298,43                                                                                                                                                  
2020;01;02061000;208;       13458,870;       111028,10                                                                                                                                                  
2020;01;02061000;212;         450,720;         3239,03                                                                                                                                                  
2020;01;02061000;319;        3235,090;        18394,35                                                                                                                                                  
2020;01;02061000;410;         313,230;         2440,75                                                                                                                                                  
2020;01;02061000;999;       11290,900;        52254,44                                                                                                                                                  
2020;01;02062100;319;       23379,740;       106410,27                                                                                                                                                  
2020;01;02062100;444;      383319,920;      1244941,19                                                                                                                                                  
2020;01;02062100;999;       14113,000;        43551,98                                                                                                                                                  
2020;01;02062200;203;      372999,860;       303474,90                                                                                                                                                  
2020;01;02062200;444;     2378481,810;      3079662,78                                                                                                                                                  
2020;01;02062200;999;      217504,600;       147572,37                                                                                                                                                  
2020;01;02062910;159;      276095,710;       670343,84                                                                                                                                                  
2020;01;02062910;341;      375746,440;       930689,50                                                                                                                                                  
2020;01;02062910;999;      206487,270;       524262,06                                                                                                                                                  
2020;01;02062990;108;      223733,740;       181305,20                                                                                                                                                  
2020;01;02062990;109;       80470,000;       102941,93                                                                                                                                                  
2020;01;02062990;117;      137500,000;       131370,00                                                                                                                                                  
2020;01;02062990;222;      362840,000;       313470,15                                                                                                                                                  
2020;01;02062990;310;      207444,080;       583880,08                                                                                                                                                  
2020;01;02062990;319;       52207,080;       200704,00                                                                                                                                                  
2020;01;02062990;335;      481240,000;       743465,35                                                                                                                                                  
2020;01;02062990;341;     1381623,560;      2864754,49                                                                                                                                                  
2020;01;02062990;444;     1337106,460;      2506129,25                                                                                                                                                  
2020;01;02062990;999;      261339,000;       207464,51                                                                                                                                                  
2020;01;02064900;149;      133891,100;        54117,54                                                                                                                                                  
2020;01;02064900;341;      277299,000;       164879,54                                                                                                                                                  
2020;01;02064900;999;      170505,000;        84661,25                                                                                                                                                  
2020;01;02068000;999;       15904,420;        82934,55                                                                                                                                                  
2020;01;02069000;999;       82170,760;        97837,31                                                                                                                                                  
2020;01;02071200;208;      944193,900;      1220722,58                                                                                                                                                  
2020;01;02071200;222;      284452,100;       219617,16                                                                                                                                                  
2020;01;02071200;310;     1099090,300;      1241216,31                                                                                                                                                  
2020;01;02071200;333;      401139,000;       519205,03                                                                                                                                                  
2020;01;02071200;509;       98412,200;       124529,85                                                                                                                                                  
