hs6;hs;sitc3;cod_omc_2;cat_omc_2_en;cod_omc_1;cat_omc_1_en;cat_omc_2;cat_omc_1
'010110;HS 2007;'00151;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'010190;HS 2017;'00151;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'010511;HS 2017;'00141;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'010632;HS 2017;'0019;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'010639;HS 2017;'0019;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020130;HS 2017;'01112;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020220;HS 2017;'01121;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020230;HS 2017;'01122;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020500;HS 2017;'0124;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020621;HS 2017;'01252;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020622;HS 2017;'01252;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020629;HS 2017;'01252;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020680;HS 2017;'01255;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020690;HS 2017;'01256;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020712;HS 2017;'01232;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020714;HS 2017;'01235;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'020810;HS 2017;'01291;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030110;HS 2007;'03411;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030219;HS 2017;'03412;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030223;HS 2017;'03413;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030269;HS 2007;'03418;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030322;HS 2007;'03421;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030329;HS 2017;'03428;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030333;HS 2017;'03422;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030374;HS 2007;'03426;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030378;HS 2007;'03427;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030379;HS 2007;'03428;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030380;HS 2007;'03429;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030410;HS 2002;'03451;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030420;HS 2002;'0344;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030490;HS 2002;'03455;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030510;HS 2017;'0355;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030559;HS 2017;'03513;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030563;HS 2017;'03522;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'030613;HS 2007;'03611;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
